,airline,number_of_changes,origin_city_code,destination_country_code,search_month,search_weekday,depart_month,depart_weekday,diff_days,distance,price
2,Turkish Airlines,2,MOW,TR,4,5,4,3,12,1608.63,24159
3,S7 Airlines,1,MOW,RU,4,5,4,1,10,3379.79,11160
5,Turkish Airlines,2,MOW,TR,4,5,4,0,9,2086.37,24260
13,Pobeda,0,MOW,RU,4,5,4,0,9,1270.49,4649
20,Aeroflot,1,MOW,RU,4,5,4,2,4,7042.45,20435
25,Azimut,2,MOW,IN,4,5,4,3,12,5123.59,41363
27,Pobeda,1,MOW,RU,4,5,4,0,23,3795.94,13781
37,Uzbekistan Airways,1,MOW,IN,4,5,4,5,21,4338.6,29417
42,Pobeda,0,MOW,RU,4,5,4,2,11,1496.68,4649
46,S7 Airlines,0,MOW,RU,4,5,4,0,16,345.27,1033
48,Azimut,2,MOW,TR,4,5,4,6,15,1643.31,22366
52,Aeroflot,0,MOW,RU,4,5,4,0,2,253.0,2250
55,Azimut,2,MOW,TR,4,5,4,3,19,2195.74,21221
57,S7 Airlines,2,MOW,KZ,4,5,4,2,25,3021.44,19572
58,Pobeda,0,MOW,RU,4,5,4,2,11,3324.82,5649
61,Azimut,2,MOW,TR,4,5,4,3,19,2089.38,21553
63,Aeroflot,1,MOW,RU,4,5,4,0,2,6348.72,17082
66,Azimut,1,MOW,RU,4,5,4,5,21,1334.24,3330
69,Uzbekistan Airways,2,MOW,IN,4,5,4,6,22,3954.46,45930
71,Nordwind Airlines,1,MOW,RU,4,5,4,0,23,386.51,4401
76,Uzbekistan Airways,2,MOW,IN,4,5,4,5,21,4427.85,42975
77,Pobeda,2,MOW,DE,4,5,4,0,9,2072.57,30546
79,Azimut,1,MOW,RU,4,5,4,2,18,152.1,4410
84,Turkish Airlines,2,MOW,KZ,4,5,4,3,19,2590.71,39152
88,S7 Airlines,1,MOW,RU,4,5,4,1,24,5876.42,13592
94,Uzbekistan Airways,0,MOW,UZ,4,5,4,4,13,2951.46,6272
96,Pobeda,0,MOW,RU,4,5,4,4,20,2991.64,6249
99,Pobeda,0,MOW,RU,4,5,4,0,9,1602.63,4149
100,S7 Airlines,0,MOW,RU,4,5,4,5,28,1939.79,10171
101,Azimut,2,MOW,IN,4,5,4,3,12,5022.12,33673
103,Wizz Air,2,MOW,ES,4,5,4,4,27,3430.21,25616
