,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
0,Turkish Airlines,2,MOW,TR,5,3,12,1608.63,24159,2,Turkish Airlines,tourism
1,S7 Airlines,1,MOW,RU,5,1,10,3379.79,11160,1,S7 Airlines,domestic
2,Turkish Airlines,2,MOW,TR,5,0,9,2086.37,24260,2,Turkish Airlines,tourism
3,Pobeda,0,MOW,RU,5,0,9,1270.49,4649,0,Pobeda,domestic
4,Aeroflot,1,MOW,RU,5,2,4,7042.45,20435,1,Aeroflot,domestic
5,Azimut,2,MOW,IN,5,3,12,5123.59,41363,2,Azimut,tourism
6,Pobeda,1,MOW,RU,5,0,23,3795.94,13781,1,Pobeda,domestic
7,Uzbekistan Airways,1,MOW,IN,5,5,21,4338.6,29417,1,Uzbekistan Airways,tourism
8,Pobeda,0,MOW,RU,5,2,11,1496.68,4649,0,Pobeda,domestic
9,S7 Airlines,0,MOW,RU,5,0,16,345.27,1033,0,S7 Airlines,domestic
10,Azimut,2,MOW,TR,5,6,15,1643.31,22366,2,Azimut,tourism
11,Aeroflot,0,MOW,RU,5,0,2,253.0,2250,0,Aeroflot,domestic
12,Azimut,2,MOW,TR,5,3,19,2195.74,21221,2,Azimut,tourism
13,S7 Airlines,2,MOW,KZ,5,2,25,3021.44,19572,2,S7 Airlines,cis
14,Pobeda,0,MOW,RU,5,2,11,3324.82,5649,0,Pobeda,domestic
15,Azimut,2,MOW,TR,5,3,19,2089.38,21553,2,Azimut,tourism
16,Aeroflot,1,MOW,RU,5,0,2,6348.72,17082,1,Aeroflot,domestic
17,Azimut,1,MOW,RU,5,5,21,1334.24,3330,1,Azimut,domestic
18,Uzbekistan Airways,2,MOW,IN,5,6,22,3954.46,45930,2,Uzbekistan Airways,tourism
19,Nordwind Airlines,1,MOW,RU,5,0,23,386.51,4401,1,Nordwind Airlines,domestic
20,Uzbekistan Airways,2,MOW,IN,5,5,21,4427.85,42975,2,Uzbekistan Airways,tourism
21,Pobeda,2,MOW,DE,5,0,9,2072.57,30546,2,Pobeda,culture
22,Azimut,1,MOW,RU,5,2,18,152.1,4410,1,Azimut,domestic
23,Turkish Airlines,2,MOW,KZ,5,3,19,2590.71,39152,2,Turkish Airlines,cis
24,S7 Airlines,1,MOW,RU,5,1,24,5876.42,13592,1,S7 Airlines,domestic
25,Uzbekistan Airways,0,MOW,UZ,5,4,13,2951.46,6272,0,Uzbekistan Airways,cis
26,Pobeda,0,MOW,RU,5,4,20,2991.64,6249,0,Pobeda,domestic
27,Pobeda,0,MOW,RU,5,0,9,1602.63,4149,0,Pobeda,domestic
28,S7 Airlines,0,MOW,RU,5,5,28,1939.79,10171,0,S7 Airlines,domestic
29,Azimut,2,MOW,IN,5,3,12,5022.12,33673,2,Azimut,tourism
30,Wizz Air,2,MOW,ES,5,4,27,3430.21,25616,2,Other,tourism
31,Nordwind Airlines,0,MOW,RU,5,5,7,1201.71,4119,0,Nordwind Airlines,domestic
32,Wizz Air,2,MOW,IT,5,4,27,2668.41,23497,2,Other,culture
33,Azimut,2,MOW,TR,5,5,28,2079.39,34942,2,Azimut,tourism
34,Wizz Air,2,MOW,IT,5,4,27,2638.56,23134,2,Other,culture
35,Azimut,3,MOW,GR,5,5,28,2245.81,46550,3+,Azimut,tourism
36,Uzbekistan Airways,0,MOW,UZ,5,2,11,2654.56,15640,0,Uzbekistan Airways,cis
37,Azimut,1,MOW,RU,5,5,21,1191.19,2552,1,Azimut,domestic
38,S7 Airlines,2,MOW,KZ,5,5,7,2234.22,21812,2,S7 Airlines,cis
39,Pobeda,3,MOW,TR,5,0,9,1988.86,23428,3+,Pobeda,tourism
40,Pobeda,1,MOW,RU,5,1,10,4575.94,30780,1,Pobeda,domestic
41,Pobeda,1,MOW,KZ,5,6,22,2279.13,14795,1,Pobeda,cis
42,Uzbekistan Airways,0,MOW,UZ,5,3,26,2791.24,15590,0,Uzbekistan Airways,cis
43,Pobeda,1,MOW,RU,5,0,9,5599.18,12351,1,Pobeda,domestic
44,S7 Airlines,1,MOW,RU,5,0,23,2878.27,6850,1,S7 Airlines,domestic
45,Turkish Airlines,2,MOW,TR,5,0,9,1911.0,24159,2,Turkish Airlines,tourism
46,Uzbekistan Airways,2,MOW,IN,5,5,21,5986.37,35146,2,Uzbekistan Airways,tourism
47,Wizz Air,2,MOW,IT,5,4,27,2232.05,24105,2,Other,culture
48,Pegasus Airlines,2,MOW,DE,5,0,23,1846.08,29343,2,Pegasus Airlines,culture
49,Wizz Air,3,MOW,GR,5,4,20,2381.63,43630,3+,Other,tourism
50,Wizz Air,2,MOW,IT,5,0,23,2098.36,27462,2,Other,culture
51,Aeroflot,0,MOW,KZ,5,6,8,1687.7,13924,0,Aeroflot,cis
52,Wizz Air,3,MOW,GR,5,0,23,2466.46,29684,3+,Other,tourism
53,S7 Airlines,1,MOW,RU,5,3,26,6410.71,14023,1,S7 Airlines,domestic
54,Pobeda,1,MOW,RU,5,0,9,3840.86,12903,1,Pobeda,domestic
55,Azimut,2,MOW,ES,5,6,22,3258.09,26447,2,Azimut,tourism
56,S7 Airlines,2,MOW,RU,5,1,3,6079.41,18934,2,S7 Airlines,domestic
57,Nordwind Airlines,0,MOW,RU,5,1,17,1466.42,4479,0,Nordwind Airlines,domestic
58,Turkish Airlines,2,MOW,TR,5,4,20,2056.91,38654,2,Turkish Airlines,tourism
59,Pobeda,0,MOW,RU,5,4,6,692.14,3099,0,Pobeda,domestic
60,Wizz Air,3,MOW,GR,5,0,23,2215.54,27593,3+,Other,tourism
61,S7 Airlines,0,MOW,RU,5,0,23,1476.84,6899,0,S7 Airlines,domestic
62,Turkish Airlines,1,MOW,ES,5,2,25,3318.23,32060,1,Turkish Airlines,tourism
63,Azimut,1,MOW,RU,5,5,21,1081.68,3777,1,Azimut,domestic
64,Pobeda,2,MOW,TR,5,3,19,1889.67,23357,2,Pobeda,tourism
65,Uzbekistan Airways,0,MOW,UZ,5,3,5,2647.82,11394,0,Uzbekistan Airways,cis
66,Pobeda,0,MOW,RU,5,1,3,4208.67,6249,0,Pobeda,domestic
67,Aeroflot,1,MOW,RU,5,4,6,6027.81,23655,1,Aeroflot,domestic
68,Pobeda,1,MOW,RU,5,1,24,4291.39,18470,1,Pobeda,domestic
69,Azimut,1,MOW,TR,5,3,19,1759.79,15344,1,Azimut,tourism
70,Aeroflot,3,MOW,IT,5,2,11,2398.73,31968,3+,Aeroflot,culture
71,S7 Airlines,2,MOW,RU,5,5,21,7051.25,20371,2,S7 Airlines,domestic
72,Uzbekistan Airways,0,MOW,UZ,5,0,23,2800.39,15590,0,Uzbekistan Airways,cis
73,Pobeda,0,MOW,RU,5,5,21,2233.37,4349,0,Pobeda,domestic
74,Nordwind Airlines,0,MOW,RU,5,5,14,1420.68,7196,0,Nordwind Airlines,domestic
75,Pobeda,0,MOW,RU,5,6,8,600.92,2499,0,Pobeda,domestic
76,Pobeda,0,MOW,RU,5,0,2,1429.66,3749,0,Pobeda,domestic
77,Azimut,2,MOW,TR,5,3,12,2153.37,22256,2,Azimut,tourism
